ts,id,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14
2024-11-13 10:13:52.083790,234,4.2554935270056E-18,2.21477241251924E-17,0.132338509310427,2.50373567236224E-18,1.43143049239788E-17,2.58361624676936E-17,7.52182332778077E-03,3.46000411217108E-17,1.3797104019401E-17,4.87328274041942E-17,1.45089233704097E-03,6.05841489773734E-18,2.06802799116157E-17,1.23349828119863E-17,3.24892513303058E-04
2024-11-13 10:16:26.725199,320,6.43745039913268E-18,2.18280297861048E-17,0.133922189799283,7.09208103151954E-18,3.48106047446879E-18,1.58201211092173E-17,0.0115153741543615,2.16619175864883E-17,1.28736337768569E-17,5.32469808455184E-17,1.22213683335282E-04,1.44940404155658E-17,1.97369442766771E-17,1.08755835895575E-17,2.22596167454178E-04
2024-11-13 10:18:15.604436,321,9.44611142777996E-18,2.03295781903358E-17,0.133820456428649,2.89549220197811E-17,1.44694539170425E-17,4.53389217504433E-18,0.0111705440661258,3.94110353439275E-17,1.4845865060551E-17,3.11704814852979E-17,7.28356135422958E-05,1.69815577646434E-17,2.19000221500518E-17,1.36605672479664E-17,2.72775579617338E-04
2024-11-13 10:20:04.486862,322,9.97465998686664E-18,2.06123047286657E-17,0.13366853141149,2.95265938803005E-17,9.59401351005396E-18,2.19762684195346E-17,0.0107520450641542,3.64373696982134E-17,1.2819135742758E-17,3.00988490816483E-17,2.87154292019139E-04,2.82688817662683E-18,1.52427343273572E-17,1.05263424819927E-17,3.20966899621031E-04
2024-11-13 10:21:53.374575,323,4.85180472187263E-18,1.51635919587848E-17,0.133522677386762,2.44776156283713E-17,1.90117033857267E-17,5.65130570765752E-18,0.0103185273324134,3.71213361916495E-17,6.94776798962589E-18,4.13416013205362E-17,5.02795679630901E-04,5.80286429652702E-18,2.25864606956131E-17,1.15444592925491E-17,3.63209549896237E-04
2024-11-13 10:23:42.278473,324,1.71032892709588E-17,1.65460974692857E-17,0.133333372243714,2.08707808817115E-17,8.59237468450801E-18,1.658843436575E-17,9.80002833513993E-03,2.73763881305569E-17,2.06402434206276E-17,3.20941852015957E-17,7.43630241035429E-04,1.17984530765917E-17,1.53652447294324E-17,1.32832096470629E-17,3.9986491876993E-04
2024-11-13 10:25:31.175651,325,1.07471540347626E-17,2.49371029093084E-17,0.133135843936271,2.34009262794522E-17,1.84983714855381E-17,1.69247347015287E-17,9.27930224810749E-03,2.48302100299834E-17,1.28977310206825E-17,2.66699571338606E-17,9.66891518471871E-04,1.43446401064537E-17,1.79165732008886E-17,1.04476102719036E-17,4.2410102188326E-04
2024-11-13 10:27:20.023361,326,7.18283939271647E-18,3.07045128716739E-17,0.132918024299975,9.97227753643322E-18,1.86224317750242E-17,2.51788024823875E-17,8.73884957189705E-03,3.28533757285575E-17,9.27046967413478E-18,3.09219985652285E-17,1.17901170359448E-03,4.95504313906607E-18,2.08479214172536E-17,9.92863620069329E-18,4.33749883253863E-04
2024-11-13 10:29:08.925121,327,1.49077798716757E-19,1.26587214876963E-17,0.13270039381195,3.35912432630205E-18,7.32883358197084E-19,1.44026677431653E-17,8.18635505326792E-03,2.80949866624924E-17,1.01221075396995E-17,3.80347889476796E-17,1.38292014096048E-03,5.8198144448907E-18,2.20626218426166E-17,1.17490499355838E-17,4.33240903284404E-04
2024-11-13 10:30:57.804451,328,6.19350491032344E-18,2.64613312269108E-17,0.13243925097417,9.20952568256351E-18,1.17503367772343E-17,5.88851115853469E-18,7.59576451731687E-03,4.00578692656106E-17,2.41937391498608E-17,3.29990083420398E-17,1.56994361344293E-03,7.80763401994385E-18,1.70627531746587E-17,1.40708268125666E-17,4.16151360485179E-04
